long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
ignacio martin fernandez,1990-01-12,182,67,liga profesional,1,river plate,10,argentina,99,izquierda,"mediocampista central, mediocampista ofensivo",mediocampista ofensivo,no convocado
franco armani,1986-10-16,189,88,liga profesional,1,river plate,1,argentina,1,derecha,arquero,arquero,suplente
agustin daniel rossi,1995-08-21,195,95,liga profesional,1,boca juniors,1,argentina,99,derecha,arquero,arquero,no convocado
enzo nicolas perez,1986-02-22,178,77,liga profesional,1,river plate,24,argentina,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo,no convocado
faustino marcos alberto rojo,1990-03-20,186,82,liga profesional,1,boca juniors,6,argentina,99,izquierda,defensor central,suplente,no convocado
gabriel arias arroyo,1987-09-13,188,82,liga profesional,1,racing club,21,chile,99,derecha,arquero,arquero,no convocado
sebastian villa cano,1996-05-19,179,71,liga profesional,1,boca juniors,22,colombia,99,derecha,"extremo izquierdo, extremo derecho",suplente,no convocado
diego nicolas de la cruz arcosa,1997-06-01,167,65,liga profesional,1,river plate,11,uruguay,99,derecha,"mediocampista central, mediocampista izquierdo, mediocampista ofensivo",mediocentro izquierdo,no convocado
maximiliano nicol moralez,1987-02-27,158,56,liga profesional,1,racing club,27,argentina,99,derecha,"mediocampista ofensivo, mediocampista central",mediocentro izquierdo,no convocado
matias ezequiel suarez,1988-05-09,183,75,liga profesional,1,river plate,7,argentina,99,derecha,"delantero, extremo izquierdo",suplente,no convocado
luis miguel rodriguez,1985-01-01,167,67,liga profesional,1,colon,10,argentina,99,derecha,"delantero, delantero centro, mediocampista ofensivo",mediocampista ofensivo,no convocado
frank yusty fabra palacios,1991-02-22,174,78,liga profesional,1,boca juniors,18,colombia,99,izquierda,lateral izquierdo,lateral izquierdo,no convocado
dario ismael benedetto,1990-05-17,177,75,liga profesional,1,boca juniors,9,argentina,99,derecha,delantero,delantero izquierdo,no convocado
milton casco,1988-04-11,170,69,liga profesional,1,river plate,20,argentina,99,derecha,"lateral izquierdo, lateral derecho",lateral izquierdo,no convocado
leonardo german sigali,1987-05-29,181,74,liga profesional,1,racing club,30,argentina,99,derecha,defensor central,defensor central derecho,no convocado
sergio german romero,1987-02-22,192,86,liga profesional,1,boca juniors,25,argentina,99,derecha,arquero,suplente,no convocado
diego roberto godin leal,1986-02-16,187,78,liga profesional,1,velez sarsfield,2,uruguay,99,derecha,defensor central,suplente,no convocado
