long_name,frases,embedding_index
ignacio martin fernandez,"ignacio martin fernandez juega como mediocampista central, mediocampista ofensivo en river plate",0
ignacio martin fernandez,ignacio martin fernandez nació el 1990-01-12,1
ignacio martin fernandez,Mide 182 cm y pesa 67 kg,2
ignacio martin fernandez,Su pierna hábil es la izquierda,3
ignacio martin fernandez,Su posición principal en el club es mediocampista ofensivo,4
ignacio martin fernandez,Es de nacionalidad argentina,5
ignacio martin fernandez,Su número en el club es 10,6
ignacio martin fernandez,En la selección juega como no convocado,7
ignacio martin fernandez,ignacio martin fernandez pertenece al club river plate,8
ignacio martin fernandez,ignacio martin fernandez juega con la camiseta número 10,9
franco armani,franco armani juega como arquero en river plate,10
franco armani,franco armani nació el 1986-10-16,11
franco armani,Mide 189 cm y pesa 88 kg,12
franco armani,Su pierna hábil es la derecha,13
franco armani,Su posición principal en el club es arquero,14
franco armani,Es de nacionalidad argentina,15
franco armani,Su número en el club es 1,16
franco armani,En la selección juega como suplente,17
franco armani,franco armani pertenece al club river plate,18
franco armani,franco armani juega con la camiseta número 1,19
agustin daniel rossi,agustin daniel rossi juega como arquero en boca juniors,20
agustin daniel rossi,agustin daniel rossi nació el 1995-08-21,21
agustin daniel rossi,Mide 195 cm y pesa 95 kg,22
agustin daniel rossi,Su pierna hábil es la derecha,23
agustin daniel rossi,Su posición principal en el club es arquero,24
agustin daniel rossi,Es de nacionalidad argentina,25
agustin daniel rossi,Su número en el club es 1,26
agustin daniel rossi,En la selección juega como no convocado,27
agustin daniel rossi,agustin daniel rossi pertenece al club boca juniors,28
agustin daniel rossi,agustin daniel rossi juega con la camiseta número 1,29
enzo nicolas perez,"enzo nicolas perez juega como mediocampista defensivo, mediocampista central en river plate",30
enzo nicolas perez,enzo nicolas perez nació el 1986-02-22,31
enzo nicolas perez,Mide 178 cm y pesa 77 kg,32
enzo nicolas perez,Su pierna hábil es la derecha,33
enzo nicolas perez,Su posición principal en el club es mediocampista defensivo,34
enzo nicolas perez,Es de nacionalidad argentina,35
enzo nicolas perez,Su número en el club es 24,36
enzo nicolas perez,En la selección juega como no convocado,37
enzo nicolas perez,enzo nicolas perez pertenece al club river plate,38
enzo nicolas perez,enzo nicolas perez juega con la camiseta número 24,39
faustino marcos alberto rojo,faustino marcos alberto rojo juega como defensor central en boca juniors,40
faustino marcos alberto rojo,faustino marcos alberto rojo nació el 1990-03-20,41
faustino marcos alberto rojo,Mide 186 cm y pesa 82 kg,42
faustino marcos alberto rojo,Su pierna hábil es la izquierda,43
faustino marcos alberto rojo,Su posición principal en el club es suplente,44
faustino marcos alberto rojo,Es de nacionalidad argentina,45
faustino marcos alberto rojo,Su número en el club es 6,46
faustino marcos alberto rojo,En la selección juega como no convocado,47
faustino marcos alberto rojo,faustino marcos alberto rojo pertenece al club boca juniors,48
faustino marcos alberto rojo,faustino marcos alberto rojo juega con la camiseta número 6,49
gabriel arias arroyo,gabriel arias arroyo juega como arquero en racing club,50
gabriel arias arroyo,gabriel arias arroyo nació el 1987-09-13,51
gabriel arias arroyo,Mide 188 cm y pesa 82 kg,52
gabriel arias arroyo,Su pierna hábil es la derecha,53
gabriel arias arroyo,Su posición principal en el club es arquero,54
gabriel arias arroyo,Es de nacionalidad chile,55
gabriel arias arroyo,Su número en el club es 21,56
gabriel arias arroyo,En la selección juega como no convocado,57
gabriel arias arroyo,gabriel arias arroyo pertenece al club racing club,58
gabriel arias arroyo,gabriel arias arroyo juega con la camiseta número 21,59
sebastian villa cano,"sebastian villa cano juega como extremo izquierdo, extremo derecho en boca juniors",60
sebastian villa cano,sebastian villa cano nació el 1996-05-19,61
sebastian villa cano,Mide 179 cm y pesa 71 kg,62
sebastian villa cano,Su pierna hábil es la derecha,63
sebastian villa cano,Su posición principal en el club es suplente,64
sebastian villa cano,Es de nacionalidad colombia,65
sebastian villa cano,Su número en el club es 22,66
sebastian villa cano,En la selección juega como no convocado,67
sebastian villa cano,sebastian villa cano pertenece al club boca juniors,68
sebastian villa cano,sebastian villa cano juega con la camiseta número 22,69
diego nicolas de la cruz arcosa,"diego nicolas de la cruz arcosa juega como mediocampista central, mediocampista izquierdo, mediocampista ofensivo en river plate",70
diego nicolas de la cruz arcosa,diego nicolas de la cruz arcosa nació el 1997-06-01,71
diego nicolas de la cruz arcosa,Mide 167 cm y pesa 65 kg,72
diego nicolas de la cruz arcosa,Su pierna hábil es la derecha,73
diego nicolas de la cruz arcosa,Su posición principal en el club es mediocentro izquierdo,74
diego nicolas de la cruz arcosa,Es de nacionalidad uruguay,75
diego nicolas de la cruz arcosa,Su número en el club es 11,76
diego nicolas de la cruz arcosa,En la selección juega como no convocado,77
diego nicolas de la cruz arcosa,diego nicolas de la cruz arcosa pertenece al club river plate,78
diego nicolas de la cruz arcosa,diego nicolas de la cruz arcosa juega con la camiseta número 11,79
maximiliano nicol moralez,"maximiliano nicol moralez juega como mediocampista ofensivo, mediocampista central en racing club",80
maximiliano nicol moralez,maximiliano nicol moralez nació el 1987-02-27,81
maximiliano nicol moralez,Mide 158 cm y pesa 56 kg,82
maximiliano nicol moralez,Su pierna hábil es la derecha,83
maximiliano nicol moralez,Su posición principal en el club es mediocentro izquierdo,84
maximiliano nicol moralez,Es de nacionalidad argentina,85
maximiliano nicol moralez,Su número en el club es 27,86
maximiliano nicol moralez,En la selección juega como no convocado,87
maximiliano nicol moralez,maximiliano nicol moralez pertenece al club racing club,88
maximiliano nicol moralez,maximiliano nicol moralez juega con la camiseta número 27,89
matias ezequiel suarez,"matias ezequiel suarez juega como delantero, extremo izquierdo en river plate",90
matias ezequiel suarez,matias ezequiel suarez nació el 1988-05-09,91
matias ezequiel suarez,Mide 183 cm y pesa 75 kg,92
matias ezequiel suarez,Su pierna hábil es la derecha,93
matias ezequiel suarez,Su posición principal en el club es suplente,94
matias ezequiel suarez,Es de nacionalidad argentina,95
matias ezequiel suarez,Su número en el club es 7,96
matias ezequiel suarez,En la selección juega como no convocado,97
matias ezequiel suarez,matias ezequiel suarez pertenece al club river plate,98
matias ezequiel suarez,matias ezequiel suarez juega con la camiseta número 7,99
luis miguel rodriguez,"luis miguel rodriguez juega como delantero, delantero centro, mediocampista ofensivo en colon",100
luis miguel rodriguez,luis miguel rodriguez nació el 1985-01-01,101
luis miguel rodriguez,Mide 167 cm y pesa 67 kg,102
luis miguel rodriguez,Su pierna hábil es la derecha,103
luis miguel rodriguez,Su posición principal en el club es mediocampista ofensivo,104
luis miguel rodriguez,Es de nacionalidad argentina,105
luis miguel rodriguez,Su número en el club es 10,106
luis miguel rodriguez,En la selección juega como no convocado,107
luis miguel rodriguez,luis miguel rodriguez pertenece al club colon,108
luis miguel rodriguez,luis miguel rodriguez juega con la camiseta número 10,109
frank yusty fabra palacios,frank yusty fabra palacios juega como lateral izquierdo en boca juniors,110
frank yusty fabra palacios,frank yusty fabra palacios nació el 1991-02-22,111
frank yusty fabra palacios,Mide 174 cm y pesa 78 kg,112
frank yusty fabra palacios,Su pierna hábil es la izquierda,113
frank yusty fabra palacios,Su posición principal en el club es lateral izquierdo,114
frank yusty fabra palacios,Es de nacionalidad colombia,115
frank yusty fabra palacios,Su número en el club es 18,116
frank yusty fabra palacios,En la selección juega como no convocado,117
frank yusty fabra palacios,frank yusty fabra palacios pertenece al club boca juniors,118
frank yusty fabra palacios,frank yusty fabra palacios juega con la camiseta número 18,119
dario ismael benedetto,dario ismael benedetto juega como delantero en boca juniors,120
dario ismael benedetto,dario ismael benedetto nació el 1990-05-17,121
dario ismael benedetto,Mide 177 cm y pesa 75 kg,122
dario ismael benedetto,Su pierna hábil es la derecha,123
dario ismael benedetto,Su posición principal en el club es delantero izquierdo,124
dario ismael benedetto,Es de nacionalidad argentina,125
dario ismael benedetto,Su número en el club es 9,126
dario ismael benedetto,En la selección juega como no convocado,127
dario ismael benedetto,dario ismael benedetto pertenece al club boca juniors,128
dario ismael benedetto,dario ismael benedetto juega con la camiseta número 9,129
milton casco,"milton casco juega como lateral izquierdo, lateral derecho en river plate",130
milton casco,milton casco nació el 1988-04-11,131
milton casco,Mide 170 cm y pesa 69 kg,132
milton casco,Su pierna hábil es la derecha,133
milton casco,Su posición principal en el club es lateral izquierdo,134
milton casco,Es de nacionalidad argentina,135
milton casco,Su número en el club es 20,136
milton casco,En la selección juega como no convocado,137
milton casco,milton casco pertenece al club river plate,138
milton casco,milton casco juega con la camiseta número 20,139
leonardo german sigali,leonardo german sigali juega como defensor central en racing club,140
leonardo german sigali,leonardo german sigali nació el 1987-05-29,141
leonardo german sigali,Mide 181 cm y pesa 74 kg,142
leonardo german sigali,Su pierna hábil es la derecha,143
leonardo german sigali,Su posición principal en el club es defensor central derecho,144
leonardo german sigali,Es de nacionalidad argentina,145
leonardo german sigali,Su número en el club es 30,146
leonardo german sigali,En la selección juega como no convocado,147
leonardo german sigali,leonardo german sigali pertenece al club racing club,148
leonardo german sigali,leonardo german sigali juega con la camiseta número 30,149
sergio german romero,sergio german romero juega como arquero en boca juniors,150
sergio german romero,sergio german romero nació el 1987-02-22,151
sergio german romero,Mide 192 cm y pesa 86 kg,152
sergio german romero,Su pierna hábil es la derecha,153
sergio german romero,Su posición principal en el club es suplente,154
sergio german romero,Es de nacionalidad argentina,155
sergio german romero,Su número en el club es 25,156
sergio german romero,En la selección juega como no convocado,157
sergio german romero,sergio german romero pertenece al club boca juniors,158
sergio german romero,sergio german romero juega con la camiseta número 25,159
diego roberto godin leal,diego roberto godin leal juega como defensor central en velez sarsfield,160
diego roberto godin leal,diego roberto godin leal nació el 1986-02-16,161
diego roberto godin leal,Mide 187 cm y pesa 78 kg,162
diego roberto godin leal,Su pierna hábil es la derecha,163
diego roberto godin leal,Su posición principal en el club es suplente,164
diego roberto godin leal,Es de nacionalidad uruguay,165
diego roberto godin leal,Su número en el club es 2,166
diego roberto godin leal,En la selección juega como no convocado,167
diego roberto godin leal,diego roberto godin leal pertenece al club velez sarsfield,168
diego roberto godin leal,diego roberto godin leal juega con la camiseta número 2,169
guillermo matias fernandez,"guillermo matias fernandez juega como mediocampista central, mediocampista defensivo en boca juniors",170
guillermo matias fernandez,guillermo matias fernandez nació el 1991-10-11,171
guillermo matias fernandez,Mide 178 cm y pesa 75 kg,172
guillermo matias fernandez,Su pierna hábil es la derecha,173
guillermo matias fernandez,Su posición principal en el club es mediocentro derecho,174
guillermo matias fernandez,Es de nacionalidad argentina,175
guillermo matias fernandez,Su número en el club es 8,176
guillermo matias fernandez,En la selección juega como no convocado,177
guillermo matias fernandez,guillermo matias fernandez pertenece al club boca juniors,178
guillermo matias fernandez,guillermo matias fernandez juega con la camiseta número 8,179
paulo cesar diaz huincales,paulo cesar diaz huincales juega como defensor central en river plate,180
paulo cesar diaz huincales,paulo cesar diaz huincales nació el 1994-08-25,181
paulo cesar diaz huincales,Mide 178 cm y pesa 76 kg,182
paulo cesar diaz huincales,Su pierna hábil es la derecha,183
paulo cesar diaz huincales,Su posición principal en el club es defensor central izquierdo,184
paulo cesar diaz huincales,Es de nacionalidad chile,185
paulo cesar diaz huincales,Su número en el club es 17,186
paulo cesar diaz huincales,En la selección juega como no convocado,187
paulo cesar diaz huincales,paulo cesar diaz huincales pertenece al club river plate,188
paulo cesar diaz huincales,paulo cesar diaz huincales juega con la camiseta número 17,189
ivan jose marcone,"ivan jose marcone juega como mediocampista defensivo, mediocampista central en independiente",190
ivan jose marcone,ivan jose marcone nació el 1990-06-03,191
ivan jose marcone,Mide 182 cm y pesa 79 kg,192
ivan jose marcone,Su pierna hábil es la derecha,193
ivan jose marcone,Su posición principal en el club es mediocampista defensivo derecho,194
ivan jose marcone,Es de nacionalidad argentina,195
ivan jose marcone,Su número en el club es 23,196
ivan jose marcone,En la selección juega como no convocado,197
ivan jose marcone,ivan jose marcone pertenece al club independiente,198
