long_name,nombres_variantes,embedding_index
ignacio martin fernandez,fernandez,0
ignacio martin fernandez,martin,1
ignacio martin fernandez,martin fernandez,2
ignacio martin fernandez,ignacio martin,3
ignacio martin fernandez,ignacio martin fernandez,4
ignacio martin fernandez,ignacio,5
franco armani,armani,6
franco armani,franco armani,7
franco armani,franco,8
agustin daniel rossi,daniel rossi,9
agustin daniel rossi,agustin daniel,10
agustin daniel rossi,agustin,11
agustin daniel rossi,agustin daniel rossi,12
agustin daniel rossi,daniel,13
agustin daniel rossi,rossi,14
enzo nicolas perez,perez,15
enzo nicolas perez,enzo,16
enzo nicolas perez,nicolas perez,17
enzo nicolas perez,nicolas,18
enzo nicolas perez,enzo nicolas perez,19
enzo nicolas perez,enzo nicolas,20
faustino marcos alberto rojo,alberto rojo,21
faustino marcos alberto rojo,faustino marcos alberto,22
faustino marcos alberto rojo,marcos,23
faustino marcos alberto rojo,faustino marcos alberto rojo,24
faustino marcos alberto rojo,faustino,25
faustino marcos alberto rojo,faustino marcos,26
faustino marcos alberto rojo,marcos alberto rojo,27
faustino marcos alberto rojo,rojo,28
faustino marcos alberto rojo,alberto,29
faustino marcos alberto rojo,marcos alberto,30
gabriel arias arroyo,gabriel arias arroyo,31
gabriel arias arroyo,arias arroyo,32
gabriel arias arroyo,arroyo,33
gabriel arias arroyo,gabriel arias,34
gabriel arias arroyo,arias,35
gabriel arias arroyo,gabriel,36
sebastian villa cano,villa,37
sebastian villa cano,sebastian,38
sebastian villa cano,cano,39
sebastian villa cano,sebastian villa cano,40
sebastian villa cano,sebastian villa,41
sebastian villa cano,villa cano,42
diego nicolas de la cruz arcosa,diego nicolas,43
diego nicolas de la cruz arcosa,de la,44
diego nicolas de la cruz arcosa,nicolas de,45
diego nicolas de la cruz arcosa,la cruz,46
diego nicolas de la cruz arcosa,la cruz arcosa,47
diego nicolas de la cruz arcosa,la,48
diego nicolas de la cruz arcosa,diego nicolas de la cruz arcosa,49
diego nicolas de la cruz arcosa,nicolas,50
diego nicolas de la cruz arcosa,diego,51
diego nicolas de la cruz arcosa,arcosa,52
diego nicolas de la cruz arcosa,cruz arcosa,53
diego nicolas de la cruz arcosa,de la cruz,54
diego nicolas de la cruz arcosa,cruz,55
diego nicolas de la cruz arcosa,nicolas de la,56
diego nicolas de la cruz arcosa,diego nicolas de,57
diego nicolas de la cruz arcosa,de,58
maximiliano nicol moralez,nicol moralez,59
maximiliano nicol moralez,maximiliano,60
maximiliano nicol moralez,maximiliano nicol,61
maximiliano nicol moralez,maximiliano nicol moralez,62
maximiliano nicol moralez,moralez,63
maximiliano nicol moralez,nicol,64
matias ezequiel suarez,matias,65
matias ezequiel suarez,ezequiel suarez,66
matias ezequiel suarez,matias ezequiel suarez,67
matias ezequiel suarez,matias ezequiel,68
matias ezequiel suarez,ezequiel,69
matias ezequiel suarez,suarez,70
luis miguel rodriguez,luis,71
luis miguel rodriguez,miguel,72
luis miguel rodriguez,rodriguez,73
luis miguel rodriguez,luis miguel rodriguez,74
luis miguel rodriguez,miguel rodriguez,75
luis miguel rodriguez,luis miguel,76
frank yusty fabra palacios,yusty fabra palacios,77
frank yusty fabra palacios,yusty,78
frank yusty fabra palacios,fabra,79
frank yusty fabra palacios,palacios,80
frank yusty fabra palacios,frank,81
frank yusty fabra palacios,frank yusty fabra palacios,82
frank yusty fabra palacios,yusty fabra,83
frank yusty fabra palacios,frank yusty fabra,84
frank yusty fabra palacios,frank yusty,85
frank yusty fabra palacios,fabra palacios,86
dario ismael benedetto,dario ismael benedetto,87
dario ismael benedetto,ismael,88
dario ismael benedetto,dario,89
dario ismael benedetto,benedetto,90
dario ismael benedetto,dario ismael,91
dario ismael benedetto,ismael benedetto,92
milton casco,casco,93
milton casco,milton,94
milton casco,milton casco,95
leonardo german sigali,leonardo,96
